Sr. No,Categories,URL
,,https://blinkit.com/dc/cleaners-repellents/laundry-additives/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjc%3D&collection_group_id=11715&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Laundry+Additives&collection_name=Cleaners+%26+Repellents
,,https://blinkit.com/dc/cleaners-repellents/dishwashing-gels-bars/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjc%3D&collection_group_id=12759&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Dishwashing+Gels+%26+Bars&collection_name=Cleaners+%26+Repellents
,,https://blinkit.com/dc/cleaners-repellents/toilet-cleaners/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjc%3D&collection_group_id=11713&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Toilet+Cleaners&collection_name=Cleaners+%26+Repellents
,,https://blinkit.com/dc/cleaners-repellents/floor-cleaners/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjc%3D&collection_group_id=11714&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Floor+Cleaners&collection_name=Cleaners+%26+Repellents
,,https://blinkit.com/dc/cleaners-repellents/glass-metal-cleaners-others/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjc%3D&collection_group_id=11721&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Glass%2C+Metal+Cleaners+%26+Others&collection_name=Cleaners+%26+Repellents
,,https://blinkit.com/dc/cleaners-repellents/household-appliance-cleaners/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjc%3D&collection_group_id=628094&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Household+Appliance+Cleaners&collection_name=Cleaners+%26+Repellents
3,Vegetables & Fruits,https://blinkit.com/dc/vegetables-fruits/all/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=90651
,,https://blinkit.com/dc/vegetables-fruits/fresh-vegetables/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=11370&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Fresh+Vegetables&collection_name=Vegetables+%26+Fruits
,,https://blinkit.com/dc/vegetables-fruits/fresh-fruits/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=11371&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Fresh+Fruits&collection_name=Vegetables+%26+Fruits
,,https://blinkit.com/dc/vegetables-fruits/exotics/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=11372&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Exotics&collection_name=Vegetables+%26+Fruits
,,https://blinkit.com/dc/vegetables-fruits/coriander-others/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=11373&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Coriander+%26+Others&collection_name=Vegetables+%26+Fruits
,,https://blinkit.com/dc/vegetables-fruits/freshly-cut-sprouts/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=11374&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Freshly+Cut+%26+Sprouts&collection_name=Vegetables+%26+Fruits
,,https://blinkit.com/dc/vegetables-fruits/trusted-organics/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=11375&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Trusted+Organics&collection_name=Vegetables+%26+Fruits
,,https://blinkit.com/dc/vegetables-fruits/flowers-leaves/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=18664&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Flowers+%26+Leaves&collection_name=Vegetables+%26+Fruits
,,https://blinkit.com/dc/vegetables-fruits/seasonal/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=16398&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Seasonal&collection_name=Vegetables+%26+Fruits
,,https://blinkit.com/dc/vegetables-fruits/frozen-veg/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=11376&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Frozen+Veg&collection_name=Vegetables+%26+Fruits
,,https://blinkit.com/dc/vegetables-fruits/hydroponic/?collection_uuid=OTg3NjU0MzIxMjM0NTMzNzE%3D&collection_group_id=11377&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Hydroponic&collection_name=Vegetables+%26+Fruits
4,Pet Store,https://blinkit.com/cn/null/cid/5/133
,,https://blinkit.com/cn///cid/5/3715
,,https://blinkit.com/cn///cid/5/3721
,,https://blinkit.com/cn///cid/5/3726
,,https://blinkit.com/cn///cid/5/3731
5,Stationery & Games,https://blinkit.com/dc/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D
,,https://blinkit.com/dc/stationery-games/pens-pencils/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=627401&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Pens+%26+Pencils&collection_name=Stationery+%26+Games
